FocusSector,Region,Market,Symbol,Name,Industry Group,Country,Close,Turnover_USD,Above200DMA,Ret252
Electronics & Semiconductors,Foreign,US,AAPL,Apple Inc.,Computers/Peripherals,United States,283.7799987792969,15350138470.0,True,
Electronics & Semiconductors,Foreign,US,INTC,INTEL CORP,Semiconductor,United States,128.32000732421875,15333692114.0,True,
Electronics & Semiconductors,Foreign,US,AVGO,Broadcom Inc.,Semiconductor,United States,365.0199890136719,14117877951.0,True,
Electronics & Semiconductors,Foreign,US,AMAT,APPLIED MATERIALS INC /DE,Semiconductor Equip,United States,626.8400268554688,6026877423.0,True,
Electronics & Semiconductors,Foreign,US,LITE,Lumentum Holdings Inc.,Telecom. Equipment,United States,816.97998046875,5377550489.0,True,
Electronics & Semiconductors,Foreign,US,QCOM,QUALCOMM INC/DE,Semiconductor,United States,189.38999938964844,4637265519.0,True,
Electronics & Semiconductors,Foreign,US,WDC,WESTERN DIGITAL CORP,Computers/Peripherals,United States,586.4500122070312,4635209626.0,True,
Electronics & Semiconductors,Foreign,US,LRCX,LAM RESEARCH CORP,Semiconductor Equip,United States,379.0899963378906,4476540856.0,True,
Electronics & Semiconductors,Foreign,US,DELL,Dell Technologies Inc.,Computers/Peripherals,United States,399.489990234375,3834325568.0,True,
Electronics & Semiconductors,Foreign,US,KLAC,KLA CORP,Semiconductor Equip,United States,248.63999938964844,3154480105.0,True,
Electronics & Semiconductors,Foreign,US,CSCO,"CISCO SYSTEMS, INC.",Telecom. Equipment,United States,113.7699966430664,2954008299.0,True,
Electronics & Semiconductors,Foreign,US,TXN,TEXAS INSTRUMENTS INC,Semiconductor,United States,285.42999267578125,2697146647.0,True,
Electronics & Semiconductors,Foreign,US,GLW,CORNING INC /NY,Electronics (General),United States,221.0500030517578,2626050682.0,True,
Electronics & Semiconductors,Foreign,US,AAOI,"APPLIED OPTOELECTRONICS, INC.",Telecom. Equipment,United States,135.69000244140625,2535714171.0,True,
Electronics & Semiconductors,Foreign,US,COHR,COHERENT CORP.,Electronics (General),United States,380.55999755859375,2260769636.0,True,
Electronics & Semiconductors,Foreign,US,ADI,ANALOG DEVICES INC,Semiconductor,United States,386.9100036621094,2036690548.0,True,
Electronics & Semiconductors,Foreign,US,ALAB,"Astera Labs, Inc.",Semiconductor,United States,391.739990234375,2016256281.0,True,
Electronics & Semiconductors,Foreign,US,CIEN,CIENA CORP,Telecom. Equipment,United States,479.5,1766820275.0,True,
Electronics & Semiconductors,Foreign,US,TER,"TERADYNE, INC",Semiconductor Equip,United States,436.8599853515625,1600961179.0,True,
Electronics & Semiconductors,Foreign,US,HPE,Hewlett Packard Enterprise Co,Computers/Peripherals,United States,43.709999084472656,1498366932.0,True,
Electronics & Semiconductors,Foreign,US,MPWR,MONOLITHIC POWER SYSTEMS INC,Semiconductor,United States,1313.3199462890625,1433335004.0,True,
Electronics & Semiconductors,Foreign,US,APH,AMPHENOL CORP /DE/,Electronics (General),United States,163.72000122070312,1426755594.0,True,
Electronics & Semiconductors,Foreign,US,ON,ON SEMICONDUCTOR CORP,Semiconductor,United States,90.6500015258789,1387849767.0,True,
Electronics & Semiconductors,Foreign,US,ANET,"Arista Networks, Inc.",Telecom. Equipment,United States,157.60000610351562,1360602040.0,True,
