FocusSector,Industry Group,Country,Exchange,Ticker,Company Name,Market,Turnover_USD,Above200DMA,Ret252,profit_margin,roe,revenue_growth,verified,yf,unverified_reason,expansion_signal
Medical Devices,Healthcare Products,Canada,NasdaqCM,VERO,Venus Concept Inc. (NasdaqCM:VERO),CA,,,,,,,UNVERIFIED,VERO,yfinance_data_gap,False
Medical Devices,Healthcare Products,Canada,OTCPK,VRSE.F,Verisante Technology Inc. (OTCPK:VRSE.F),CA,,,,,,,UNVERIFIED,VRSE.F,yfinance_data_gap,False
Medical Devices,Healthcare Products,Canada,TSXV,ZEN,Zentek Ltd. (TSXV:ZEN),CA,,,,0.0,-0.79570997,-0.955,NOT-PROFITABLE,ZEN.V,,False
Medical Devices,Healthcare Products,Canada,TSXV,ZCT,"Zero Candida Technologies, Inc. (TSXV:ZCT)",CA,,,,0.0,,,UNVERIFIED,ZCT.V,yfinance_data_gap,False
Medical Devices,Healthcare Products,China,SEHK,1789,AK Medical Holdings Limited (SEHK:1789),CN,,,,0.22874,0.12217,0.144,PROFITABLE,1789.HK,,True
Medical Devices,Healthcare Products,China,SHSE,688617,APT Medical Inc. (SHSE:688617),CN,,,,0.31829,0.29716,0.248,PROFITABLE,688617.SS,,True
Medical Devices,Healthcare Products,China,SHSE,688067,"AVE Science&Technology CO.,LTD (SHSE:688067)",CN,,,,0.1366,0.05854,-0.005,PROFITABLE,688067.SS,,False
Medical Devices,Healthcare Products,China,SEHK,6669,Acotec Scientific Holdings Limited (SEHK:6669),CN,,,,0.18489,0.084350005,0.214,PROFITABLE,6669.HK,,True
Medical Devices,Healthcare Products,China,SZSE,301580,"Aidite (Qinhuangdao) Technology Co., Ltd. (SZSE:301580)",CN,,,,0.18697001,0.09631,0.253,PROFITABLE,301580.SZ,,True
Medical Devices,Healthcare Products,China,SHSE,688613,"Allgens Medical Technology CO., LTD. (SHSE:688613)",CN,,,,0.06179,0.00712,0.147,PROFITABLE,688613.SS,,True
Medical Devices,Healthcare Products,China,SZSE,002950,"Allmed Medical Products Co.,Ltd (SZSE:002950)",CN,,,,0.07123,0.07831,0.181,PROFITABLE,002950.SZ,,True
Medical Devices,Healthcare Products,China,SZSE,002432,"Andon Health Co., Ltd. (SZSE:002432)",CN,,,,1.97746,0.10553,-0.405,PROFITABLE,002432.SZ,,False
Medical Devices,Healthcare Products,China,SEHK,6699,Angelalign Technology Inc. (SEHK:6699),CN,,,,0.076799996,0.053489998,0.416,PROFITABLE,6699.HK,,True
Medical Devices,Healthcare Products,China,SZSE,301234,"Anhui Hongyu Wuzhou Medical Manufacturer Co.,LTD. (SZSE:301234)",CN,,,,0.04685,0.02773,-0.033,PROFITABLE,301234.SZ,,False
Medical Devices,Healthcare Products,China,SHSE,688075,"Assure Tech (Hangzhou) Co., Ltd. (SHSE:688075)",CN,,,,0.061479997,0.00475,-0.382,PROFITABLE,688075.SS,,False
Medical Devices,Healthcare Products,China,SZSE,300595,Autek China Inc. (SZSE:300595),CN,,,,0.25263,0.098290004,-0.039,PROFITABLE,300595.SZ,,False
Medical Devices,Healthcare Products,China,SHSE,603658,"Autobio Diagnostics Co., Ltd. (SHSE:603658)",CN,,,,0.24500999,0.11549,-0.004,PROFITABLE,603658.SS,,False
Medical Devices,Healthcare Products,China,SZSE,301367,"BMC Medical Co., Ltd. (SZSE:301367)",CN,,,,0.1597,0.0661,0.165,PROFITABLE,301367.SZ,,True
Medical Devices,Healthcare Products,China,NasdaqCM,BDMD,Baird Medical Investment Holdings Limited (NasdaqCM:BDMD),CN,,,,-1.21036,-0.77598,-0.39,NOT-PROFITABLE,BDMD,,False
Medical Devices,Healthcare Products,China,SHSE,688198,"Beijing Balance Medical Technology Co.,Ltd. (SHSE:688198)",CN,,,,0.30508,0.14614001,0.434,PROFITABLE,688198.SS,,True
Medical Devices,Healthcare Products,China,SZSE,300318,"Beijing Bohui Innovation Biotechnology Group Co., Ltd. (SZSE:300318)",CN,,,,-0.11707,-0.080010004,-0.058,NOT-PROFITABLE,300318.SZ,,False
Medical Devices,Healthcare Products,China,SEHK,1858,"Beijing Chunlizhengda Medical Instruments Co., Ltd. (SEHK:1858)",CN,,,,0.26739,0.093210004,-0.056,PROFITABLE,1858.HK,,False
Medical Devices,Healthcare Products,China,SHSE,688338,Beijing Succeeder Technology Inc. (SHSE:688338),CN,,,,0.33653,0.05092,-0.122,PROFITABLE,688338.SS,,False
Medical Devices,Healthcare Products,China,SHSE,600055,"Beijing Wandong Medical Technology Co.,Ltd. (SHSE:600055)",CN,,,,-0.20201999,-0.05881,0.089,NOT-PROFITABLE,600055.SS,,False
Medical Devices,Healthcare Products,China,SZSE,002382,"Blue Sail Medical Co.,Ltd. (SZSE:002382)",CN,,,,-0.14413999,-0.08816,0.063,NOT-PROFITABLE,002382.SZ,,False
Medical Devices,Healthcare Products,China,SEHK,2216,Broncus Holding Corporation (SEHK:2216),CN,,,,0.0,-0.11191,,NOT-PROFITABLE,2216.HK,,False
Medical Devices,Healthcare Products,China,SZSE,301122,"Caina Technology Co., Ltd. (SZSE:301122)",CN,,,,0.025980001,0.0035899999,0.944,PROFITABLE,301122.SZ,,True
Medical Devices,Healthcare Products,China,SHSE,688607,"CareRay Digital Medical Technology Co., Ltd. (SHSE:688607)",CN,,,,-0.05919,-0.02476,0.173,NOT-PROFITABLE,688607.SS,,True
Medical Devices,Healthcare Products,China,SHSE,688468,"Chemclin Diagnostics Co., Ltd. (SHSE:688468)",CN,,,,0.118039995,0.026889998,-0.098,PROFITABLE,688468.SS,,False
Medical Devices,Healthcare Products,China,SEHK,1763,China Isotope & Radiation Corporation (SEHK:1763),CN,,,,0.04555,0.08371,-0.091,PROFITABLE,1763.HK,,False
Medical Devices,Healthcare Products,China,SHSE,688358,"Chison Medical Technologies Co., Ltd. (SHSE:688358)",CN,,,,0.27772,0.083909996,-0.003,PROFITABLE,688358.SS,,False
Medical Devices,Healthcare Products,China,SHSE,603976,"ChongQing Zhengchuan Pharmaceutical Packaging Co.,Ltd (SHSE:603976)",CN,,,,0.02083,0.01211,0.291,PROFITABLE,603976.SS,,True
Medical Devices,Healthcare Products,China,SHSE,688576,"Chongqing Xishan Science & Technology Co., Ltd. (SHSE:688576)",CN,,,,0.13715,0.02753,0.09,PROFITABLE,688576.SS,,False
Medical Devices,Healthcare Products,China,SZSE,301087,"Cofoe Medical Technology Co.,Ltd. (SZSE:301087)",CN,,,,0.10574,0.07981,0.372,PROFITABLE,301087.SZ,,True
Medical Devices,Healthcare Products,China,SZSE,300869,"Contec Medical Systems Co.,Ltd (SZSE:300869)",CN,,,,-0.10757,-0.027290002,-0.103,NOT-PROFITABLE,300869.SZ,,False
Medical Devices,Healthcare Products,China,SEHK,6922,"Cryofocus Medtech (Shanghai) Co., Ltd. (SEHK:6922)",CN,,,,-0.40065,-0.69755,0.297,NOT-PROFITABLE,6922.HK,,True
