FocusSector,Region,Market,Symbol,Name,Industry Group,Country,Close,Turnover_USD,Above200DMA,Ret252,yf,profit_margin,roe,revenue_growth,verified,expansion_signal
Green Energy & Fuels,Foreign,US,AXP,AMERICAN EXPRESS CO,Oil/Gas (Production and Exploration),United States,340.3599853515625,975729159.0,True,,AXP,0.16305,0.34419,0.116,PROFITABLE,True
Green Energy & Fuels,Foreign,US,COP,CONOCOPHILLIPS,Oil/Gas (Production and Exploration),United States,105.95999908447266,788723957.0,True,,COP,0.12331,0.112840004,-0.053,PROFITABLE,False
Green Energy & Fuels,Foreign,US,AEP,AMERICAN ELECTRIC POWER CO INC,Power,United States,138.69000244140625,684400016.0,True,,AEP,0.16289,0.12585,0.102,PROFITABLE,True
Green Energy & Fuels,Foreign,US,SO,SOUTHERN CO,Power,United States,97.16000366210938,654633549.0,True,,SO,0.14458999,0.109910004,0.08,PROFITABLE,False
Green Energy & Fuels,Foreign,US,DVN,DEVON ENERGY CORP/DE,Oil/Gas (Production and Exploration),United States,42.209999084472656,642399931.0,True,,DVN,0.14172,0.15178001,-0.008,PROFITABLE,False
Green Energy & Fuels,Foreign,US,FANG,"Diamondback Energy, Inc.",Oil/Gas (Production and Exploration),United States,179.91000366210938,525599528.0,True,,FANG,0.01964,0.0047400002,0.042,PROFITABLE,False
Green Energy & Fuels,Foreign,US,EOG,EOG RESOURCES INC,Oil/Gas (Production and Exploration),United States,132.60000610351562,506418951.0,True,,EOG,0.23322001,0.18195,0.156,PROFITABLE,True
Green Energy & Fuels,India,IN,PTC,PTC INC.,Power,India,180.97999572753903,266578358.0,True,6.653304922917447,PTC.NS,0.03611,0.103769995,0.289,PROFITABLE,True
Green Energy & Fuels,India,IN,ADANIPOWER,ADANI POWER LTD,Power,India,223.77000427246097,66355796.0,True,-57.79915053796116,ADANIPOWER.NS,0.23662001,0.20908001,-0.001,PROFITABLE,False
Green Energy & Fuels,India,IN,NTPC,NTPC LTD,Power,India,356.6499938964844,55160895.0,True,6.399158982191455,NTPC.NS,0.14437,0.13695,0.08,PROFITABLE,True
Green Energy & Fuels,India,IN,COALINDIA,COAL INDIA LTD,Coal & Related Energy,India,439.0499877929687,45184977.0,True,12.85181893556755,COALINDIA.NS,0.18465,0.28124002,0.162,PROFITABLE,True
Green Energy & Fuels,India,IN,ADANIGREEN,ADANI GREEN ENERGY LTD,Green & Renewable Energy,India,1492.199951171875,41485700.0,True,57.45488360781978,ADANIGREEN.NS,0.12715,0.07576,0.143,PROFITABLE,True
Green Energy & Fuels,India,IN,ADANIENSOL,ADANI ENERGY SOLUTION LTD,Power,India,1491.4000244140625,34225193.0,True,80.0990301151494,ADANIENSOL.NS,0.08274,0.096599996,0.168,PROFITABLE,True
Green Energy & Fuels,India,IN,NHPC,NHPC LTD,Green & Renewable Energy,India,81.33000183105469,20265998.0,True,-1.1906156683353486,NHPC.NS,0.32421002,0.09021,0.192,PROFITABLE,True
Green Energy & Fuels,India,IN,JPPOWER,JAIPRAKASH POWER VEN. LTD,Power,India,17.670000076293945,15927373.0,True,2.079726293809925,JPPOWER.NS,0.081,0.03603,0.034,PROFITABLE,True
Medical Devices,Foreign,US,EW,Edwards Lifesciences Corp,Healthcare Products,United States,90.77999877929688,416034019.0,True,,EW,0.1739,0.1046,0.167,PROFITABLE,True
Medical Devices,Foreign,US,DXCM,DEXCOM INC,Healthcare Products,United States,70.13999938964844,392351362.0,True,,DXCM,0.19311,0.35624,0.15,PROFITABLE,True
Medical Devices,Foreign,US,BDX,BECTON DICKINSON & CO,Healthcare Products,United States,155.9199981689453,338326972.0,True,,BDX,0.05124,0.06672,0.052,PROFITABLE,False
Medical Devices,Foreign,US,ALGN,ALIGN TECHNOLOGY INC,Healthcare Products,United States,178.42999267578125,177812368.0,True,,ALGN,0.10496,0.10824,0.062,PROFITABLE,False
Medical Devices,Foreign,US,ZBH,"ZIMMER BIOMET HOLDINGS, INC.",Healthcare Products,United States,93.0999984741211,172244257.0,True,,ZBH,0.09052,0.060650002,0.093,PROFITABLE,False
Medical Devices,Foreign,US,MASI,MASIMO CORP,Healthcare Products,United States,179.9499969482422,144129115.0,True,,MASI,0.04896,0.24987,0.085,PROFITABLE,False
Medical Devices,Foreign,US,SOLV,Solventum Corp,Healthcare Products,United States,79.52999877929688,140213499.0,True,,SOLV,0.17332001,0.34794998,-0.03,PROFITABLE,False
Medical Devices,Foreign,US,BAX,BAXTER INTERNATIONAL INC,Healthcare Products,United States,22.040000915527344,135331269.0,True,,BAX,-0.096999995,-0.15010999,0.029,NOT-PROFITABLE,False
Pharma & Bulk Drugs,Foreign,US,LLY,ELI LILLY & Co,Drugs (Pharmaceutical),United States,1208.1199951171875,3285993314.0,True,,LLY,0.34986,1.07459,0.555,PROFITABLE,True
Pharma & Bulk Drugs,Foreign,US,JNJ,JOHNSON & JOHNSON,Drugs (Pharmaceutical),United States,254.66000366210935,1915915454.0,True,,JNJ,0.21482,,0.066,UNVERIFIED,False
Pharma & Bulk Drugs,Foreign,US,ABBV,AbbVie Inc.,Drugs (Biotechnology),United States,253.3500061035156,1292663538.0,True,,ABBV,0.05786,,0.124,UNVERIFIED,True
Pharma & Bulk Drugs,Foreign,US,MRK,"Merck & Co., Inc.",Drugs (Pharmaceutical),United States,128.66000366210938,1277609237.0,True,,MRK,0.13586001,0.18944,0.049,PROFITABLE,False
Pharma & Bulk Drugs,Foreign,US,AMGN,AMGEN INC,Drugs (Biotechnology),United States,358.3299865722656,999752052.0,True,,AMGN,0.20955999,1.01318,0.058,PROFITABLE,False
Pharma & Bulk Drugs,Foreign,US,BMY,BRISTOL MYERS SQUIBB CO,Drugs (Pharmaceutical),United States,57.52000045776367,726166527.0,True,,BMY,0.15006,0.38731998,0.026,PROFITABLE,False
Pharma & Bulk Drugs,Foreign,US,VRTX,VERTEX PHARMACEUTICALS INC / MA,Drugs (Biotechnology),United States,491.3399963378906,669041106.0,True,,VRTX,0.35507,0.24197,0.078,PROFITABLE,False
Pharma & Bulk Drugs,Foreign,US,RVMD,"Revolution Medicines, Inc.",Drugs (Biotechnology),United States,182.0800018310547,443575095.0,True,,RVMD,0.0,-0.76672995,,NOT-PROFITABLE,False
Pharma & Bulk Drugs,India,IN,WOCKPHARMA,WOCKHARDT LIMITED,Drugs (Pharmaceutical),India,1941.4000244140625,49048914.0,True,12.167781930011422,WOCKPHARMA.NS,0.06315,0.04005,0.26,PROFITABLE,True
Pharma & Bulk Drugs,India,IN,SUNPHARMA,SUN PHARMACEUTICAL IND L,Drugs (Pharmaceutical),India,1862.5,40510972.0,True,11.85514547524984,SUNPHARMA.NS,0.19635999,0.1472,0.128,PROFITABLE,True
Pharma & Bulk Drugs,India,IN,LAURUSLABS,LAURUS LABS LIMITED,Drugs (Pharmaceutical),India,1517.4000244140625,25805150.0,True,133.08756135392662,LAURUSLABS.NS,0.13046,0.17743,0.053,PROFITABLE,True
Pharma & Bulk Drugs,India,IN,CIPLA,CIPLA LTD,Drugs (Pharmaceutical),India,1465.4000244140625,20895759.0,True,-2.2871192821610986,CIPLA.NS,0.13939999,0.11736,-0.021,PROFITABLE,False
Pharma & Bulk Drugs,India,IN,AUROPHARMA,AUROBINDO PHARMA LTD,Drugs (Pharmaceutical),India,1578.699951171875,17432014.0,True,43.88443505540893,AUROPHARMA.NS,0.10414,0.09932999,0.056,PROFITABLE,True
Pharma & Bulk Drugs,India,IN,ZYDUSLIFE,ZYDUS LIFESCIENCES LTD,Drugs (Pharmaceutical),India,1112.5999755859375,13442930.0,True,16.246996548589678,ZYDUSLIFE.NS,0.18565,0.18318,0.162,PROFITABLE,True
Pharma & Bulk Drugs,India,IN,GLAND,GLAND PHARMA LIMITED,Drugs (Pharmaceutical),India,2495.0,12500585.0,True,44.77196034903581,GLAND.NS,0.15975,0.10532,0.223,PROFITABLE,True
